Country,Country_Code,Criminality_Score,Human_Trafficking,Arms_Trafficking,Flora_Crimes,NonRenewable_Resource_Crimes,Heroin_Trade,Cocaine_Trade,Cannabis_Trade,Synthetic_Drug_Trade,Resilience_Score,Total_Crime_Index,Total_Drug_Trade,Crime_Level
Algeria,DZA,4.5125,4.5,5.0,2.0,6.5,2.0,3.5,6.5,5.5,4.625,4.5,4.375,Low
Angola,AGO,5.2875,6.0,6.0,7.0,8.5,3.0,6.0,4.5,2.5,4.416666666666667,6.875,4.0,Medium
Benin,BEN,5.25,6.0,5.5,6.0,5.0,4.5,6.0,4.0,6.0,3.5416666666666665,5.625,5.125,Medium
Botswana,BWA,3.7125,4.5,3.0,2.0,3.5,3.5,3.5,4.0,3.5,5.625,3.25,3.625,Low
Burkina Faso,BFA,5.4875,6.0,8.0,4.0,8.5,4.0,4.0,3.0,6.0,3.625,6.625,4.25,Medium
Burundi,BDI,4.5125,8.5,8.0,2.0,4.0,3.0,2.5,3.5,2.5,2.0833333333333335,5.625,2.875,Low
Cabo Verde,CPV,4.0375,4.5,2.5,2.5,1.0,4.0,7.0,5.0,4.5,6.333333333333333,2.625,5.125,Low
Cameroon,CMR,6.3125,6.5,6.5,7.0,7.5,4.5,3.5,7.0,7.0,3.125,6.875,5.5,High
Central African Republic,CAF,7.0375,7.5,8.5,6.5,9.0,1.5,1.5,3.0,7.0,1.9166666666666667,7.875,3.25,High
Chad,TCD,5.8625,7.0,8.0,1.5,7.0,2.0,4.5,6.0,7.0,2.4583333333333335,5.875,4.875,High
Comoros,COM,3.8625,5.0,3.5,3.0,1.0,4.0,2.0,3.0,6.0,2.375,3.125,3.75,Low
"Congo, Dem. Rep.",COD,7.75,7.0,9.0,8.5,9.0,4.0,4.5,7.0,2.5,2.2916666666666665,8.375,4.5,High
"Congo, Rep.",COG,5.025,6.5,5.0,8.0,3.5,2.5,5.0,4.0,2.0,3.25,5.75,3.375,Medium
Côte d'Ivoire,CIV,6.15,6.5,7.0,6.0,7.5,3.5,5.0,6.0,6.0,4.416666666666667,6.75,5.125,High
Djibouti,DJI,3.9875,6.0,6.0,2.0,2.0,2.5,1.5,3.5,1.5,4.5,4.0,2.25,Low
Egypt,EGY,5.1625,5.5,7.0,1.0,4.0,5.5,2.0,7.0,7.0,4.041666666666667,4.375,5.375,Medium
Equatorial Guinea,GNQ,4.1125,4.5,5.0,8.5,6.0,1.5,1.5,3.5,1.0,2.1666666666666665,6.0,1.875,Low
Eritrea,ERI,4.3375,9.0,6.5,1.5,2.0,3.0,1.5,4.0,1.5,2.3333333333333335,4.75,2.5,Low
Eswatini,SWZ,3.625,4.0,4.0,2.0,3.0,3.0,3.0,5.5,3.0,3.25,3.25,3.625,Low
Ethiopia,ETH,4.7875,6.0,7.0,3.5,5.5,3.0,4.0,5.5,3.0,5.375,5.5,3.875,Medium
Gabon,GAB,4.9,5.5,4.5,8.5,3.0,2.5,2.5,4.0,5.0,3.1666666666666665,5.375,3.5,Medium
Gambia,GMB,4.825,7.0,2.5,7.0,4.5,4.5,6.5,7.0,4.0,5.0,5.25,5.5,Medium
Ghana,GHA,6.0125,6.5,5.0,6.5,7.5,6.0,6.5,5.5,7.0,5.375,6.375,6.25,High
Guinea,GIN,5.2,7.0,6.0,4.5,6.5,2.5,7.0,4.5,4.5,2.8333333333333335,6.0,4.625,Medium
Guinea-Bissau,GNB,5.45,5.5,5.5,8.5,1.0,5.0,8.0,5.5,2.0,2.4166666666666665,5.125,5.125,Medium
Kenya,KEN,6.95,7.5,7.5,6.0,7.0,7.5,6.0,6.5,4.5,5.208333333333333,7.0,6.125,High
Lesotho,LSO,3.9,4.0,3.0,1.0,5.5,3.5,5.5,4.5,3.0,3.6666666666666665,3.375,4.125,Low
Liberia,LBR,5.05,6.0,4.5,5.5,6.5,5.0,5.5,6.0,3.0,3.1666666666666665,5.625,4.875,Medium
Libya,LBY,6.55,9.5,9.5,1.0,8.5,2.5,4.0,7.5,7.0,1.5416666666666667,7.125,5.25,High
Madagascar,MDG,5.5875,6.0,4.5,7.5,7.5,7.0,2.5,6.0,2.0,3.375,6.375,4.375,Medium
Malawi,MWI,3.825,4.5,4.5,4.0,4.0,4.5,2.5,6.0,2.0,4.291666666666667,4.25,3.75,Low
Mali,MLI,5.8875,7.0,8.0,5.0,7.5,3.0,6.0,7.0,6.5,2.375,6.875,5.625,High
Mauritania,MRT,4.375,7.5,4.0,1.0,3.5,1.5,4.5,6.5,2.0,3.0833333333333335,4.0,3.625,Low
Mauritius,MUS,4.5125,4.5,2.0,2.0,4.0,8.0,3.5,5.5,8.0,5.666666666666667,3.125,6.25,Low
Morocco,MAR,4.7875,5.5,3.0,3.0,3.0,3.0,6.0,9.0,6.0,4.625,3.625,6.0,Medium
Mozambique,MOZ,6.525,4.0,5.5,8.0,8.0,7.5,3.5,4.0,7.0,3.2916666666666665,6.375,5.5,High
Namibia,NAM,4.325,3.5,3.0,6.5,4.0,3.0,4.5,3.0,4.5,4.958333333333333,4.25,3.75,Low
Niger,NER,6.0125,7.0,8.0,2.0,7.5,3.0,6.0,7.0,7.0,3.2083333333333335,6.125,5.75,High
Nigeria,NGA,7.15,7.5,8.0,6.0,8.0,6.0,6.5,8.0,8.0,5.5,7.375,7.125,High
Rwanda,RWA,3.675,5.0,5.0,3.0,8.0,3.0,2.5,4.0,3.0,5.5,5.25,3.125,Low
São Tomé and Príncipe,STP,1.775,1.5,2.0,2.5,1.0,2.0,2.0,2.5,1.0,4.916666666666667,1.75,1.875,Low
Senegal,SEN,4.8125,5.0,4.5,7.5,3.5,2.5,6.5,6.0,2.5,5.583333333333333,5.125,4.375,Medium
Seychelles,SYC,3.675,4.0,3.5,4.0,1.0,7.5,3.0,3.0,2.5,4.583333333333333,3.125,4.0,Low
Sierra Leone,SLE,5.4,5.0,3.5,6.5,6.5,2.0,4.5,7.0,5.0,3.4583333333333335,5.375,4.625,Medium
Somalia,SOM,5.7875,8.0,8.5,6.0,2.0,2.0,2.0,2.0,2.0,1.6666666666666667,6.125,2.0,High
South Africa,ZAF,6.625,4.5,8.0,3.5,7.5,7.5,5.5,3.5,8.5,5.791666666666667,5.875,6.25,High
South Sudan,SSD,6.3375,8.5,8.0,7.5,8.0,2.0,1.5,4.0,1.0,1.8333333333333333,8.0,2.125,High
Sudan,SDN,6.4625,8.0,8.5,1.5,7.5,2.0,2.5,8.0,4.5,2.9583333333333335,6.375,4.25,High
Tanzania,TZA,6.15,6.5,5.5,7.5,6.5,7.5,5.0,7.0,5.5,4.041666666666667,6.5,6.25,High
Togo,TGO,5.325,6.0,4.0,5.0,6.0,3.0,5.0,6.5,4.0,4.0,5.25,4.625,Medium
Tunisia,TUN,3.7875,4.0,5.0,3.5,5.0,2.0,3.0,5.0,4.0,4.833333333333333,4.375,3.5,Low
Uganda,UGA,6.1375,7.0,6.5,6.0,7.0,5.0,3.5,6.0,4.0,3.9583333333333335,6.625,4.625,High
Zambia,ZMB,4.925,5.0,4.0,8.0,5.5,4.0,3.0,5.0,4.0,4.333333333333333,5.625,4.0,Medium
Zimbabwe,ZWE,5.6625,5.5,4.0,5.5,8.0,4.0,3.0,6.0,5.0,3.1666666666666665,5.75,4.5,Medium
