DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190326475,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,2130,07,Wilshire,0784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1800,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,11/11/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1700,03,Southwest,0356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,05/10/2023 12:00:00 AM,03/10/2020 12:00:00 AM,2037,09,Van Nuys,0964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
200412582,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,0630,04,Hollenbeck,0413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 28,,34.082,-118.213
200209713,05/03/2020 12:00:00 AM,05/02/2020 12:00:00 AM,1800,02,Rampart,0245,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2500 W  4TH                          ST,,34.0642,-118.2771
200200759,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1340,02,Rampart,0265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,648,998,,,JAMES M WOOD,ALVARADO,34.0536,-118.2788
201308739,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1210,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3200 S  SAN PEDRO                    ST,,34.017,-118.2643
201112065,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,KENMORE                      ST,FOUNTAIN,34.0953,-118.2974
200121929,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,2300,01,Central,0105,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400    SOLANO                       AV,,34.071,-118.2302
201215394,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2200,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLORENCE,WADSWORTH,33.9747,-118.2587
200406391,03/02/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1430,04,Hollenbeck,0407,1,310,BURGLARY,0344 1607,27,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,4500    HUNTINGTON DR,,34.0881,-118.1877
200114396,07/06/2020 12:00:00 AM,07/04/2020 12:00:00 AM,0100,01,Central,0157,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6TH                          ST,CROCKER,34.0423,-118.2453
200912561,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,0700,09,Van Nuys,0937,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BESSEMER,RANCHITO,34.1812,-118.4356
200207955,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,0130,02,Rampart,0236,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900    MIRAMAR                      ST,,34.0632,-118.2693
200112598,06/01/2020 12:00:00 AM,05/30/2020 12:00:00 AM,0030,01,Central,0153,1,310,BURGLARY,1609 0344,0,M,W,201,JEWELRY STORE,,,AA,Adult Arrest,310,,,,600 S  BROADWAY,,34.0467,-118.252
200905707,02/08/2020 12:00:00 AM,02/07/2020 12:00:00 AM,2000,09,Van Nuys,0939,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,AETNA,ATOLL,34.1803,-118.4204
200215463,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1900,02,Rampart,0237,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 W  COURT                        ST,,34.0668,-118.2627
200308100,03/07/2020 12:00:00 AM,03/06/2020 12:00:00 AM,2200,03,Southwest,0317,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VERMONT,24TH,34.0344,-118.2915
200606074,02/12/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1615,06,Hollywood,0646,2,805,PIMPING,1300 1402,23,F,H,101,STREET,,,AA,Adult Arrest,805,998,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337
200517540,12/07/2020 12:00:00 AM,11/30/2020 12:00:00 AM,2255,05,Harbor,0541,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400    BRETT                        PL,,33.7553,-118.3056
200506977,03/10/2020 12:00:00 AM,02/22/2020 12:00:00 AM,0030,05,Harbor,0511,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,1600 W  PACIFIC COAST                HY,,33.7926,-118.3043
201110303,06/11/2020 12:00:00 AM,06/08/2020 12:00:00 AM,2000,11,Northeast,1118,1,310,BURGLARY,0344 1607,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,100    AVENUE 56,,34.1089,-118.1942
201000767,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,2000,10,West Valley,1043,1,330,BURGLARY FROM VEHICLE,0344 1602 1822 1402,41,M,W,108,PARKING LOT,,,AA,Adult Arrest,330,998,,,18600    HATTERAS                     ST,,34.1774,-118.5387
