TIME OCC,AREA,AREA NAME,Crm Cd Desc,Premis Desc,Status,Year,Month,Day,Hour,DateTime
1,6,Hollywood,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",SINGLE FAMILY DWELLING,IC,2020,1,1,0,2020-01-01 00:00:00
1,5,Harbor,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),SPECIALTY SCHOOL/OTHER,AO,2020,1,1,0,2020-01-01 00:00:00
1,4,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,1,0,2020-01-01 00:00:00
1,12,77th Street,THEFT OF IDENTITY,STREET,IC,2020,1,1,0,2020-01-01 00:00:00
40,11,Northeast,BATTERY - SIMPLE ASSAULT,SIDEWALK,IC,2020,1,1,0,2020-01-01 00:00:00
120,6,Hollywood,BATTERY - SIMPLE ASSAULT,BAR/SPORTS BAR (OPEN DAY & NIGHT),IC,2020,1,1,1,2020-01-01 01:00:00
200,4,Hollenbeck,"RAPE, FORCIBLE",SINGLE FAMILY DWELLING,AA,2020,1,1,2,2020-01-01 02:00:00
230,4,Hollenbeck,VEHICLE - STOLEN,STREET,IC,2020,1,1,2,2020-01-01 02:00:00
240,6,Hollywood,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,2020,1,1,2,2020-01-01 02:00:00
400,11,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT,STREET,AO,2020,1,1,4,2020-01-01 04:00:00
420,4,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,1,4,2020-01-01 04:00:00
500,2,Rampart,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,1,5,2020-01-01 05:00:00
500,4,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING,AA,2020,1,1,5,2020-01-01 05:00:00
700,7,Wilshire,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,AO,2020,1,1,7,2020-01-01 07:00:00
800,12,77th Street,"THEFT, PERSON",STREET,JA,2020,1,1,8,2020-01-01 08:00:00
838,1,Central,CRIMINAL HOMICIDE,RESTAURANT/FAST FOOD,AA,2020,1,1,8,2020-01-01 08:00:00
945,12,77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,STREET,IC,2020,1,1,9,2020-01-01 09:00:00
